category,name_it,active,price,description_it,name_en,description_en,type,all_1_gluten,all_2_crustaceans,all_3_eggs,all_4_fish,all_5_peanuts,all_6_soy,all_7_milk,all_8_nuts,all_9_celery,all_10_mustard,all_11_sesame,all_12_sulfites,all_13_lupin,all_14_mollusks
beers,IPA Artigianale,true,6.00,Birra artigianale 33cl,Craft IPA,Craft beer 33cl,vegan,true,false,false,false,false,false,false,false,false,false,false,false,false,false
beers,Weiss,true,7.00,Birra di frumento 50cl,Wheat Beer,Wheat beer 50cl,vegan,true,false,false,false,false,false,false,false,false,false,false,false,false,false
beers,Stout Irlandese,false,7.50,Birra scura 50cl - ESAURITA,Irish Stout,Dark beer 50cl - OUT OF STOCK,vegan,true,false,false,false,false,false,false,false,false,false,false,false,false,false
cocktails,Negroni,true,8.00,"Gin, Vermouth, Campari",Negroni,"Gin, Vermouth, Campari",vegan,false,false,false,false,false,false,false,false,false,false,false,true,false,false
cocktails,Spritz,true,6.00,"Aperol, Prosecco, Soda",Spritz,"Aperol, Prosecco, Soda",vegan,false,false,false,false,false,false,false,false,false,false,false,true,false,false
cocktails,White Russian,true,9.00,"Vodka, Kahlua, Panna",White Russian,"Vodka, Kahlua, Cream",vegetarian,false,false,false,false,false,false,true,false,false,false,false,true,false,false
cocktails,Mojito Classico,true,8.00,"Rum, lime, menta, zucchero",Classic Mojito,"Rum, lime, mint, sugar",vegan,false,false,false,false,false,false,false,false,false,false,false,false,false,false
soft_drinks,Coca Cola,true,3.50,33cl vetro,Coke,33cl glass bottle,vegan,false,false,false,false,false,false,false,false,false,false,false,false,false,false
soft_drinks,Succo di Frutta,true,3.00,Pesca o Albicocca,Fruit Juice,Peach or Apricot,vegan,false,false,false,false,false,false,false,false,false,false,false,false,false,false
soft_drinks,Acqua Frizzante,true,2.50,50cl vetro,Sparkling Water,50cl glass bottle,vegan,false,false,false,false,false,false,false,false,false,false,false,false,false,false
snacks,Bruschetta Classica,true,5.00,"Pomodoro, aglio, basilico",Classic Bruschetta,"Tomato, garlic, basil",vegan,true,false,false,false,false,false,false,false,false,false,false,false,false,false
snacks,Tagliere Formaggi,true,12.00,Selezione di formaggi locali,Cheese Board,Selection of local cheeses,vegetarian,false,false,false,false,false,false,true,false,false,false,false,false,false,false
snacks,Olive Ascolane,true,6.00,Olive ripiene fritte,Stuffed Olives,Fried stuffed olives,standard,true,false,true,false,false,false,false,false,false,false,false,false,false,false
snacks,Calamari Fritti,true,10.00,Anelli di calamaro fritti,Fried Calamari,Fried calamari rings,standard,true,false,true,true,false,false,false,false,false,false,false,false,false,true
